#|Network Id|Vault Name|Vault Address|Strategy Address|Strategy Name|Display Name|Audit|Code Review|Complexity|Longevity|Protocol Safety|Team Knowledge|Testing|Decimal Risk Score|Status|Current TVL|Available TVL|Current Amount|Available Amount
113|1|Curve Iron Bank Factory yVault|0xa8E0c42F45C877e611C76F2D4bF57476f2014381|0x40B24E1AA1582F4def4f74E258906f3BDBfF0093|StrategyCurveBoostedFactory-ib3CRV|Curve Boost|5|2|2|1|2|1|3|5437949987|Yellow|86218646.88|-36218646.88|465080410.76|-6352473.53
114|1|Curve sdCRV Factory yVault|0x429EA2d8d5B06CA40dD986FaC0734BA0E0CaC022|0xa23Bf32c622f56d0714bD933F699191a941354F9|StrategyCurveBoostedFactory-sdCRVCRV-f|Curve Boost|5|2|2|1|2|1|3|5437949987|Yellow|86218646.88|-36218646.88|465080410.76|-6352473.53
115|1|Curve FRAX Factory yVault|0xb37094c1B5614Bd6EcE40AFb295C26F4377069d3|0xc518042B11E8e678d0ce05B9323064DbA13E3cE6|StrategyCurveBoostedFactory-FRAX3CRV-f|Curve Boost|5|2|2|1|2|1|3|5437949987|Yellow|86218646.88|-36218646.88|465080410.76|-6352473.53
116|1|Curve alUSD Factory yVault|0x4CbB6A5EC00cEEC252a7091559484F7adb83165f|0xbCE2274FBdaEf299Ea4775b159dEF29440f109E9|StrategyCurveBoostedFactory-alUSD3CRV-f|Curve Boost|5|2|2|1|2|1|3|5437949987|Yellow|86218646.88|-36218646.88|465080410.76|-6352473.53
117|1|Curve 3EUR Factory yVault|0x82c83ddA32DB09F63F9A59A129278f3fdC3EeE67|0x34b7BF2825deaEAe1f2D43ee374D4eea6881cB05|StrategyCurveBoostedFactory-3EURpool-f|Curve Boost|5|2|2|1|2|1|3|5437949987|Yellow|86218646.88|-36218646.88|465080410.76|-6352473.53
118|1|Curve sETH Factory yVault|0xB5dE7250128775a317B3f775a7AFcEC73571B732|0x1A59095DC5D62545B6F40440341B153d92E1fC15|StrategyCurveBoostedFactory-eCRV|Curve Boost|5|2|2|1|2|1|3|5437949987|Yellow|86218646.88|-36218646.88|465080410.76|-6352473.53
119|1|Curve sdANGLE Factory yVault|0x9E0E0AF468FbD041Cab7883c5eEf16D1A99a47C3|0x781611bB5C85CaCCd37069AE4f81C9BACc4C2016|StrategyCurveBoostedFactory-sdAGAG-f|Curve Boost|5|2|2|1|2|1|3|5437949987|Yellow|86218646.88|-36218646.88|465080410.76|-6352473.53
120|1|Curve XAI-FRAXBP Factory yVault|0x00e8Eb340f8AF587EEA6200D2081E31dC87285ac|0x2427e9E6C6ec0Fe3Baf9B42516d61CeE7a2ef769|StrategyCurveBoostedFactory-XAIFRAXBP3CRV-f|Curve Boost|5|2|2|1|2|1|3|5437949987|Yellow|86218646.88|-36218646.88|465080410.76|-6352473.53
121|1|Curve XAI-FRAXBP Factory yVault|0x00e8Eb340f8AF587EEA6200D2081E31dC87285ac|0xD441B754114a84D274dA0FDf1A34c06Dbe78DD1a|StrategyConvexFraxFactory-XAIFRAXBP3CRV-f|Convex Frax Reinvest|5|2|2|1|2|1|3|5437949987|Green|569736.99|49430263.01|104644.57|49737491.49
122|1|Curve DOLA-FRAXBP Factory yVault|0xe5F625e8f4D2A038AE9583Da254945285E5a77a4|0x337957EbBEAba34f4fC0520F1b1B54fD5FC352Cf|StrategyCurveBoostedFactory-DOLAFRAXBP3CRV-f|Curve Boost|5|2|2|1|2|1|3|5437949987|Yellow|86218646.88|-36218646.88|465080410.76|-6352473.53
